,Filename,ALBUM,ARTIST,GENRE,TITLE,YEAR,TAG
28,BLACKPINK - Kill This Love,Kill This Love,BLACKPINK,"Rap, Hip",Kill This Love,2019,#국내 #힙합 #랩 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
29,Lauv - Paris In The Rain,I met you when I was 18. (the playlist),Lauv,Pop,Paris In The Rain,2018,#팝송 #어쿠스틱 #출근/퇴근길 #편안한 #감성적인 #가을 #어쿠스틱한 노래모음 #출근/퇴근길에 듣기좋은 노래 #편안하게 듣는 잔잔한 음악
30,엔플라잉 (N.Flying) - 옥탑방,FLY HIGH PROJECT #2 `옥탑방`,엔플라잉 (N.Flying),Rock,옥탑방,2019,#국내 #록 #락 #고음질FLAC #편안한 #감성적인 #가을 #어쿠스틱한 노래모음 #출근/퇴근길에 듣기좋은 노래 #편안하게 듣는 잔잔한 음악
31,ITZY (있지) - 달라달라,IT`z Different,ITZY (있지),Dance,달라달라 (DALLA DALLA),2019,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
32,전소미 - BIRTHDAY,BIRTHDAY,전소미,Dance,BIRTHDAY,2019,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
33,볼빨간사춘기 - 별 보러 갈래？,사춘기집 I 꽃기운,볼빨간사춘기,Indie,별 보러 갈래-,2019,#국내 #인디 #잔잔한 #기타 #악기 #어쿠스틱 #카페 #분위기 있는 감성인디 #편안하게 듣는 잔잔한 음악 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
34,기리보이 - 교통정리 (Feat. 헤이즈),교통정리,기리보이,"Rap, Hip",교통정리 (Feat. 헤이즈),2019,#국내 #힙합 #랩 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
35,엠씨더맥스 - 넘쳐흘러,Circular,엠씨더맥스,Ballad,넘쳐흘러,2019,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
36,청하 - 벌써 12시,벌써 12시,청하,Dance,벌써 12시,2019,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
37,장범준 - 당신과는 천천히,장범준 3집,장범준,Rock,당신과는 천천히,2019,#국내 #록 #락 #고음질FLAC #편안한 #감성적인 #가을 #어쿠스틱한 노래모음 #출근/퇴근길에 듣기좋은 노래 #편안하게 듣는 잔잔한 음악
38,방탄소년단 - 소우주 (Mikrokosmos),MAP OF THE SOUL : PERSONA,방탄소년단,"Rap, Hip",소우주 (Mikrokosmos),2019,#국내 #힙합 #랩 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
39,마크툽 (MAKTUB) - 오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),Red Moon : To You My Light,마크툽(Maktub),Indie,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),2019,#국내 #인디 #잔잔한 #기타 #악기 #어쿠스틱 #카페 #분위기 있는 감성인디 #편안하게 듣는 잔잔한 음악 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
40,염따 - 돈 Call Me (Prod. BRLLNT),Dingo X 염따,염따,"Rap, Hip",돈 Call Me (Prod. BRLLNT),2019,#국내 #힙합 #랩 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
41,케이시 (Kassy) - 진심이 담긴 노래 (True Song),진심이 담긴 노래 (True Song),케이시(Kassy),Soundtrack,진심이 담긴 노래 (True Song),2019,#국내 #오후 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디 # 쓸쓸한
42,방탄소년단 - 봄날,YOU NEVER WALK ALONE,방탄소년단,Hip-Hop,봄날,2017,#국내 #힙합 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
43,홍진영 - 오늘 밤에,Lots of Love,홍진영,Trot,오늘 밤에,2019,#국내 #트로트 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래
44,숀 (SHAUN) - Way Back Home,Take,숀 (SHAUN),Electronica,Way Back Home,2018,#국내 #일렉트로닉 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
45,우디 (Woody) - 이 노래가 클럽에서 나온다면,이 노래가 클럽에서 나온다면,우디 (Woody),"Rap, Hip-hop",이 노래가 클럽에서 나온다면 (Fire up),2019,#국내 #힙합 #랩 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
46,임한별 - 이별하러 가는 길,이별하러 가는 길,임한별,Ballad,이별하러 가는 길,2018,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
47,"소유 (SOYOU), 오반 - 비가 오잖아",비가 오잖아,"소유(SOYOU),오반","R&B, Soul",비가 오잖아,2019,#R&B #Soul #국내 #인디 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
48,백예린 - 그건 아마 우리의 잘못은 아닐 거야,Our love is great,백예린,"R&B, Soul",그건 아마 우리의 잘못은 아닐 거야,2019,#R&B #Soul #국내 #인디 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
49,방탄소년단 - IDOL,LOVE YOURSELF 結 `Answer`,방탄소년단,"Rap, Hip",IDOL,2018,#국내 #힙합 #랩 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
50,잔나비 - 뜨거운 여름밤은 가고 남은 건 볼품없지만,MONKEY HOTEL,잔나비,Ballad,뜨거운 여름밤은 가고 남은 건 볼품없지만,2016,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
51,방탄소년단 - Make It Right,MAP OF THE SOUL : PERSONA,방탄소년단,"Rap, Hip",Make It Right,2019,#국내 #힙합 #랩 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
52,잔나비 - 사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,봉춤을 추네,잔나비,Indie Rock,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,2014,#국내 #인디 #잔잔한 #기타 #악기 #어쿠스틱 #카페 #분위기 있는 감성인디 #편안하게 듣는 잔잔한 음악 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
53,하은 (라코스테남) - 신용재,신용재,하은(라코스테남),Ballad,신용재,2018,#국내 #발라드 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디
